ABC‐boek | ABC-book
ABC | ABC
Aalst | Alost
Aar | Aar
Abchazisch | Abkhazian
Abchazië | Abkhazia
Abchaziër | Abkhazian
Abessinië | Abyssinia
Abessiniër | Abyssinian
Abessĳn | Abyssinian
Abessĳns | Abyssinian
Abraham | Abraham
Achaea | Achaea
Acheron | Acheron
Achilles | Achilles
Achter‐Indië | Indo‐China
Acropolis | Acropolis
Actium | Actium
Adam | Adam
Addis‐Abeba | AddisAbaba
Adelheid | Adelaide
Adelheide | Adelaide
Aden | Aden
Admiraliteits eilanden | Admirality Islands
Adonis | Adonis
Adriaan | Adrian
Adrianopel | Adrianople
Adrianus | Adrian
Adriatische Zee | Adriatic
Adzjarië | Adzharia
Aegir | Aegir
Aeneas | Aeneas
Aeolus | Aeolus
Afghaan | Afghan
Afghaans | Afghan
Afghaanse | Afghanwoman
Afghanistan | Afghanistan
Afrika | Africa
Afrikaan | African
Afrikaanse | African woman
Afrikaanse taal | Afrikaans
Afroamerikaan | Afro‐American
Afroamerikaans | Afro‐American
Afroaziaat | Afro‐Asian
Afroaziatisch | Afro‐Asian
Afrodite | Aphrodite
Agamemnon | Agamemnon
Agatha | Agatha
Agrippa | Agrippa
Ainoe | Ainu
Ajax | Ajax
Aken | Aix‐la‐Chapelle
Alaska | Alaska
Albaans | Albanian
Albanese | Albanian
Albanese taal | Albanian
Albanië | Albania
Albaniër | Albanian
Albert | Albert
Albertmeer | LakeAlbert
Albertus | Albert
Albion | Albion
Albrecht | Albert
Aleoeten | Aleutian Islands
Aleppo | Aleppo
Alex | Alex
Alexander | Alexander
Alexandrië | Alexandria
Alfred | Alfred
Algerië | Algeria
Algerĳe | Algeria
Algerĳn | Algerian
Algerĳns | Algerian
Algerĳnse | Algerian woman
Algiers | Algiers
Allah | Allah
Allerheiligen | All Hallows
Allerzielen | All Souls' Day
Alpen | Alps
Altai | Altai
Alva | Alva
Amadeus | Amadeus
Amazone | Amazon
Amazonestroom | Amazon
Ambon | Amboina
Ambonees | Amboinese
America | America
Amerika | America
